"filename", "language", "JavaScript", "CSS", "XML", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\package-lock.json", "JSON", 0, 0, 0, 18254, 0, 0, 0, 1, 18255
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\package.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\App.css", "CSS", 0, 37, 0, 0, 0, 0, 2, 9, 48
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\App.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Api.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Character.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Class.js", "JavaScript", 152, 0, 0, 0, 0, 0, 4, 21, 177
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\ClassInfo.js", "JavaScript", 87, 0, 0, 0, 0, 0, 5, 14, 106
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Combat.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 11, 87
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Equip.js", "JavaScript", 181, 0, 0, 0, 0, 0, 13, 44, 238
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\ProInfo.js", "JavaScript", 289, 0, 0, 0, 0, 0, 32, 117, 438
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Race.js", "JavaScript", 100, 0, 0, 0, 0, 0, 2, 16, 118
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\RaceInfo.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 7, 110
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\SavingThrows.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Skills.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 21, 110
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Spellcasting.js", "JavaScript", 171, 0, 0, 0, 0, 0, 10, 23, 204
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Stats.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 24, 131
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\components\Subclasses.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\pages\CharCreator.js", "JavaScript", 208, 0, 0, 0, 0, 0, 3, 30, 241
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\chris\OneDrive\Documents\Repositories\DNDCompanion\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1666, 49, 1, 18319, 20, 38, 101, 402, 20596
